centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;Sala de 2;     ;     ;466;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;466
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;Sala de 3;     ;     ;     ;1939;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1945
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;Sala de 4;     ;     ;     ;     ;2661;10;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2671
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;Sala de 5;     ;     ;     ;     ;     ;2977;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2977
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;22;38;55;58;42;64;59;47;54;42;42;44;168;735
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano; ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;0
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;3451;16;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3469
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2550;918;472;168;60;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4168
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2192;750;313;104;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3359
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1828;625;226;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2679
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;323;65;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;388
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;3542;406;67;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4020
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;20°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;20;31;22;4;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;77
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;3501;417;88;21;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4033
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;3188;359;81;30;11;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3670
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3340;394;107;38;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3885
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3264;311;81;13;3;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3675
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3376;814;239;121;45;22;9;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4627
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3229;878;333;99;43;12;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4599
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2752;861;374;143;49;18;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4197
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;Deambuladores;     ;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;Sala de 2;     ;     ;351;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;351
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;Sala de 3;     ;     ;     ;2651;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2656
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;3260;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3260
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;Sala de 5;     ;     ;     ;     ;     ;3522;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3522
Gran Buenos Aires;AVELLANEDA;Estatal;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;308;609;793;816;883;676;663;534;469;364;390;391;1607;8503
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;1°;     ;     ;     ;     ;     ;     ;2117;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2117
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1772;115;26;4;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1917
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1846;129;12;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1989
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1818;112;10;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1940
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;2202;38;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2241
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;2304;18;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2322
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;2262;24;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2286
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2223;22;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2246
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2236;18;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2255
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2099;48;3;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2151
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2006;116;9;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2131
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2008;102;7;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2118
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;Deambuladores;     ;139;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;139
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;Lactantes;25;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;25
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;Sala de 2;     ;     ;482;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;482
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;Sala de 3;     ;     ;     ;1192;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1192
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;Sala de 4;     ;     ;     ;     ;1336;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1336
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;Sala de 5;     ;     ;     ;     ;     ;1526;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1526
Gran Buenos Aires;AVELLANEDA;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;98;111;101;102;87;67;63;69;66;40;45;29;214;1092
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;3606;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3608
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3286;907;394;116;49;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4752
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2879;857;322;130;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4188
